2025-04-07 13:36:50,478 | 201 Created | Dados enviados com sucesso
2025-04-07 13:36:55,491 | 201 Created | Dados enviados com sucesso
2025-04-07 13:37:00,504 | 201 Created | Dados enviados com sucesso
2025-04-07 13:37:05,518 | 201 Created | Dados enviados com sucesso
2025-04-07 13:37:10,966 | 201 Created | Dados enviados com sucesso
2025-04-07 13:37:15,974 | 201 Created | Dados enviados com sucesso
2025-04-07 13:37:20,984 | 201 Created | Dados enviados com sucesso
2025-04-07 13:37:25,993 | 201 Created | Dados enviados com sucesso
2025-04-07 13:37:31,002 | 201 Created | Dados enviados com sucesso
2025-04-07 13:37:36,026 | 201 Created | Dados enviados com sucesso
2025-04-07 13:37:41,034 | 201 Created | Dados enviados com sucesso
2025-04-07 13:37:46,043 | 201 Created | Dados enviados com sucesso
2025-04-07 13:37:51,058 | 201 Created | Dados enviados com sucesso
2025-04-07 13:37:56,069 | 201 Created | Dados enviados com sucesso
2025-04-07 13:38:01,079 | 201 Created | Dados enviados com sucesso
2025-04-07 13:38:06,112 | 201 Created | Dados enviados com sucesso
2025-04-07 13:38:11,126 | 201 Created | Dados enviados com sucesso
2025-04-07 13:38:16,134 | 201 Created | Dados enviados com sucesso
2025-04-07 13:38:21,142 | 201 Created | Dados enviados com sucesso
2025-04-07 13:38:26,152 | 201 Created | Dados enviados com sucesso
2025-04-07 13:38:31,160 | 201 Created | Dados enviados com sucesso
2025-04-07 13:38:36,168 | 201 Created | Dados enviados com sucesso
2025-04-07 13:38:41,177 | 201 Created | Dados enviados com sucesso
2025-04-07 13:38:46,186 | 201 Created | Dados enviados com sucesso
2025-04-07 13:38:51,195 | 201 Created | Dados enviados com sucesso
2025-04-07 13:38:56,207 | 201 Created | Dados enviados com sucesso
2025-04-07 13:39:01,214 | 201 Created | Dados enviados com sucesso
2025-04-07 13:39:06,231 | 201 Created | Dados enviados com sucesso
2025-04-07 13:39:11,240 | 201 Created | Dados enviados com sucesso
2025-04-07 13:39:16,270 | 201 Created | Dados enviados com sucesso
2025-04-07 13:39:21,278 | 201 Created | Dados enviados com sucesso
2025-04-07 13:39:26,286 | 201 Created | Dados enviados com sucesso
2025-04-07 13:39:31,316 | 201 Created | Dados enviados com sucesso
2025-04-07 13:39:36,346 | 201 Created | Dados enviados com sucesso
2025-04-07 13:39:41,368 | 201 Created | Dados enviados com sucesso
2025-04-07 13:39:46,378 | 201 Created | Dados enviados com sucesso
2025-04-07 13:39:51,392 | 201 Created | Dados enviados com sucesso
2025-04-07 13:39:56,404 | 201 Created | Dados enviados com sucesso
2025-04-07 13:40:01,414 | 201 Created | Dados enviados com sucesso
2025-04-07 13:40:06,427 | 201 Created | Dados enviados com sucesso
2025-04-07 13:40:11,439 | 201 Created | Dados enviados com sucesso
2025-04-07 13:40:16,446 | 201 Created | Dados enviados com sucesso
2025-04-07 13:40:21,457 | 201 Created | Dados enviados com sucesso
2025-04-07 13:40:26,463 | 201 Created | Dados enviados com sucesso
2025-04-07 13:40:31,472 | 201 Created | Dados enviados com sucesso
2025-04-07 13:40:36,480 | 201 Created | Dados enviados com sucesso
2025-04-07 13:40:41,505 | 201 Created | Dados enviados com sucesso
2025-04-07 13:40:46,525 | 201 Created | Dados enviados com sucesso
2025-04-07 13:40:51,532 | 201 Created | Dados enviados com sucesso
2025-04-07 13:40:56,540 | 201 Created | Dados enviados com sucesso
2025-04-07 13:41:01,557 | 201 Created | Dados enviados com sucesso
2025-04-07 13:41:11,547 | 201 Created | Dados enviados com sucesso
2025-04-07 13:41:30,059 | 201 Created | Dados enviados com sucesso
2025-04-07 13:41:35,067 | 201 Created | Dados enviados com sucesso
2025-04-07 13:41:40,095 | 201 Created | Dados enviados com sucesso
2025-04-07 13:41:45,104 | 201 Created | Dados enviados com sucesso
2025-04-07 13:41:50,115 | 201 Created | Dados enviados com sucesso
2025-04-07 13:41:55,127 | 201 Created | Dados enviados com sucesso
2025-04-07 13:42:00,140 | 201 Created | Dados enviados com sucesso
2025-04-07 13:42:05,148 | 201 Created | Dados enviados com sucesso
2025-04-07 13:42:10,157 | 201 Created | Dados enviados com sucesso
2025-04-07 13:42:15,186 | 201 Created | Dados enviados com sucesso
2025-04-07 13:42:20,193 | 201 Created | Dados enviados com sucesso
2025-04-07 13:42:25,201 | 201 Created | Dados enviados com sucesso
2025-04-07 13:42:30,227 | 201 Created | Dados enviados com sucesso
2025-04-07 13:42:35,248 | 201 Created | Dados enviados com sucesso
2025-04-07 13:42:40,280 | 201 Created | Dados enviados com sucesso
2025-04-07 13:42:45,301 | 201 Created | Dados enviados com sucesso
2025-04-07 13:42:50,318 | 201 Created | Dados enviados com sucesso
2025-04-07 13:42:55,332 | 201 Created | Dados enviados com sucesso
2025-04-07 13:43:00,340 | 201 Created | Dados enviados com sucesso
2025-04-07 13:43:06,835 | 201 Created | Dados enviados com sucesso
2025-04-07 13:43:11,843 | 201 Created | Dados enviados com sucesso
2025-04-07 13:43:16,851 | 201 Created | Dados enviados com sucesso
2025-04-07 13:43:21,859 | 201 Created | Dados enviados com sucesso
2025-04-07 13:43:26,867 | 201 Created | Dados enviados com sucesso
2025-04-07 13:43:31,874 | 201 Created | Dados enviados com sucesso
2025-04-07 13:43:36,884 | 201 Created | Dados enviados com sucesso
2025-04-07 13:43:41,890 | 201 Created | Dados enviados com sucesso
2025-04-07 13:43:46,899 | 201 Created | Dados enviados com sucesso
2025-04-07 13:43:51,928 | 201 Created | Dados enviados com sucesso
2025-04-07 13:43:56,941 | 201 Created | Dados enviados com sucesso
2025-04-07 13:44:01,949 | 201 Created | Dados enviados com sucesso
2025-04-07 13:44:06,960 | 201 Created | Dados enviados com sucesso
2025-04-07 13:44:11,973 | 201 Created | Dados enviados com sucesso
2025-04-07 13:44:16,984 | 201 Created | Dados enviados com sucesso
2025-04-07 13:44:21,992 | 201 Created | Dados enviados com sucesso
2025-04-07 13:44:27,009 | 201 Created | Dados enviados com sucesso
2025-04-07 13:44:32,024 | 201 Created | Dados enviados com sucesso
2025-04-07 13:44:37,032 | 201 Created | Dados enviados com sucesso
2025-04-07 13:44:42,045 | 201 Created | Dados enviados com sucesso
2025-04-07 13:44:47,054 | 201 Created | Dados enviados com sucesso
2025-04-07 13:44:52,072 | 201 Created | Dados enviados com sucesso
2025-04-07 13:44:57,093 | 201 Created | Dados enviados com sucesso
